sno,name,handedness,height,weight,avg,HR,ratio,bodyindex,bodytype,CatAvg
1,Tom Brown,RIGHT,73,170,0,0,0.429411765,1,MODERATE,0.0003795
2,Denny Lemaster,RIGHT,73,182,0.13,4,0.401098901,1,MODERATE,0.0003795
3,Joe Nolan,LEFT,71,175,0.263,27,0.405714286,1,MODERATE,0.000647192
4,Denny Doyle,LEFT,69,175,0.25,16,0.394285714,1,MODERATE,0.000647192
5,Jose Cardenal,RIGHT,70,150,0.275,138,0.466666667,2,LEAN,0.0003795
6,Mike Ryan,RIGHT,74,205,0.193,28,0.36097561,0,HEAVY,0.0003795
7,Fritz Peterson,BOTH,72,185,0.159,2,0.389189189,1,MODERATE,0.002755676
8,Dick Bertell,RIGHT,72,200,0.25,10,0.36,0,HEAVY,0.0003795
9,Rod Kanehl,RIGHT,73,180,0.241,6,0.405555556,1,MODERATE,0.0003795
10,Ozzie Osborn,RIGHT,74,195,0,0,0.379487179,1,MODERATE,0.0003795
11,John LaRose,LEFT,73,185,0,0,0.394594595,1,MODERATE,0.000647192
12,Jeff Byrd,RIGHT,75,195,0,0,0.384615385,1,MODERATE,0.0003795
13,Juan Bonilla,RIGHT,69,170,0.256,7,0.405882353,1,MODERATE,0.0003795
14,Frank Tepedino,LEFT,71,185,0.241,6,0.383783784,1,MODERATE,0.000647192
15,Jerry Kutzler,LEFT,73,175,0,0,0.417142857,1,MODERATE,0.000647192
16,Rick Wise,RIGHT,73,180,0.195,15,0.405555556,1,MODERATE,0.0003795
17,Darrell Evans,LEFT,74,200,0.248,414,0.37,0,HEAVY,0.000647192
18,Buck Martinez,RIGHT,70,190,0.225,58,0.368421053,0,HEAVY,0.0003795
19,John Wockenfuss,RIGHT,72,190,0.262,86,0.378947368,0,HEAVY,0.0003795
20,Tommy McCraw,LEFT,72,183,0.246,75,0.393442623,1,MODERATE,0.000647192
21,Jeff Barkley,BOTH,75,185,0,0,0.405405405,1,MODERATE,0.002755676
22,Eric Wilkins,RIGHT,73,190,0,0,0.384210526,1,MODERATE,0.0003795
23,Britt Burns,LEFT,77,215,0,0,0.358139535,0,HEAVY,0.000647192
24,Lee Lacy,RIGHT,73,175,0.286,91,0.417142857,1,MODERATE,0.0003795
